village,state,date,water_source_id,water_source_type,latitude,longitude,pH,turbidity_ntu,bacteria_ecoli_cfu_100ml,bacteria_coliform_cfu_100ml,dissolved_oxygen_mg_l,nitrates_mg_l,phosphates_mg_l,heavy_metals_mg_l,chlorine_residual_mg_l,fluoride_mg_l,arsenic_mg_l,test_method,testing_agency,is_potable,contamination_level,depth_meters
Phek Rural,Nagaland,2023-02-24,WS_79404,Well,23.185486,93.503963,7.51,3.3,19.0,65.0,7.5,6.8,2.45,0.032,0.36,1.25,0.031,Water Testing Kit,Agency_2,1,Safe,146.0
Jiribam Village,Manipur,2023-02-25,WS_68955,Piped Supply,27.879052,92.02308,4.82,19.0,1508.0,809.0,3.0,133.3,17.67,1.07,1.84,1.4,0.027,IoT Sensor,Agency_2,0,High,
Teliamura Rural,Tripura,2023-02-25,WS_36573,River,23.471473,90.97423,5.35,92.5,635.0,4227.0,3.8,170.8,15.55,1.17,1.35,0.44,0.042,Lab Analysis,Agency_5,0,High,
Gangtok Rural,Sikkim,2023-02-25,WS_44084,Pond,24.371676,93.688799,6.34,45.4,1156.0,3892.0,2.3,105.9,14.91,1.58,1.57,0.6,0.009,IoT Sensor,Agency_2,0,High,
Tuensang Village,Nagaland,2023-02-25,WS_89862,River,28.014997,95.440624,6.67,6.6,29.0,55.0,6.3,16.4,0.17,0.038,1.59,0.86,0.05,Water Testing Kit,Agency_4,1,Safe,
Shillong Rural,Meghalaya,2023-02-25,WS_48871,Well,24.775276,89.984118,8.15,6.6,44.0,42.0,8.7,9.4,2.81,0.028,0.34,0.04,0.038,IoT Sensor,Agency_1,1,Safe,182.0
Lawngtlai Village,Mizoram,2023-02-25,WS_53034,Well,26.581488,88.284404,7.56,1.2,48.0,22.0,8.3,36.8,0.42,0.036,1.61,1.44,0.002,Lab Analysis,Agency_8,1,Safe,162.0
Ziro Village,Arunachal Pradesh,2023-02-25,WS_32517,Tube Well,25.917611,93.397102,8.48,7.3,9.0,67.0,7.6,5.0,0.27,0.028,1.69,0.5,0.009,Water Testing Kit,Agency_5,1,Safe,118.0
Amarpur Village,Tripura,2023-02-26,WS_90401,Pond,28.738358,90.741224,8.46,5.5,33.0,71.0,6.9,28.3,0.21,0.025,1.69,1.08,0.041,IoT Sensor,Agency_5,1,Safe,
Pakyong Village,Sikkim,2023-02-26,WS_61366,River,23.439657,92.825926,6.25,46.9,176.0,3865.0,3.9,75.4,24.46,1.27,0.9,0.43,0.049,Lab Analysis,Agency_3,0,High,
Mokokchung Rural,Nagaland,2023-02-26,WS_87643,Tube Well,23.707187,93.793814,8.4,2.0,11.0,68.0,6.2,5.8,1.13,0.013,0.11,0.24,0.026,Water Testing Kit,Agency_2,1,Safe,140.0
Mokokchung Rural,Nagaland,2023-02-26,WS_65371,Well,28.333831,88.48485,4.58,97.5,955.0,4323.0,2.1,56.4,18.91,0.17,1.14,0.76,0.039,Water Testing Kit,Agency_3,0,High,147.0
Tuensang Village,Nagaland,2023-02-26,WS_72808,Piped Supply,28.51295,95.446499,7.38,6.4,40.0,79.0,8.0,9.7,2.25,0.007,1.37,0.14,0.041,Water Testing Kit,Agency_3,1,Safe,
Singtam Village,Sikkim,2023-02-26,WS_45196,Piped Supply,28.787984,93.982706,6.69,5.7,26.0,15.0,7.6,36.0,0.49,0.04,0.8,0.83,0.037,IoT Sensor,Agency_6,1,Safe,
Kohima Rural,Nagaland,2023-02-26,WS_40671,Spring,23.564935,92.873291,5.46,22.8,256.0,701.0,1.8,154.5,22.22,0.93,1.44,0.95,0.028,Water Testing Kit,Agency_7,0,High,
Ukhrul Village,Manipur,2023-02-27,WS_76514,Piped Supply,24.631768,91.025532,7.75,0.6,29.0,52.0,6.8,25.6,2.02,0.002,0.49,1.39,0.033,Water Testing Kit,Agency_8,1,Safe,
Kiphire Village,Nagaland,2023-02-27,WS_69257,River,25.848789,90.406617,6.33,92.7,1910.0,1596.0,2.4,127.8,14.79,0.14,1.27,0.21,0.05,Lab Analysis,Agency_9,0,High,
Bishnupur Rural,Manipur,2023-02-27,WS_87067,Piped Supply,26.328601,95.929199,8.44,3.0,47.0,29.0,7.4,23.3,2.98,0.02,1.14,0.82,0.041,IoT Sensor,Agency_5,1,Safe,
Mokokchung Rural,Nagaland,2023-02-27,WS_47432,Pond,26.610818,89.105638,7.69,3.2,16.0,11.0,7.6,16.4,0.96,0.047,1.33,1.33,0.021,IoT Sensor,Agency_1,1,Safe,
Bishnupur Rural,Manipur,2023-02-27,WS_94291,Pond,24.574475,88.565882,4.85,35.5,751.0,2920.0,3.3,93.4,8.36,0.95,1.13,0.19,0.026,Water Testing Kit,Agency_2,0,High,
Churachandpur Village,Manipur,2023-02-27,WS_83097,Pond,25.980813,94.113948,6.51,6.1,41.0,12.0,8.8,39.3,0.54,0.012,0.83,1.03,0.036,Lab Analysis,Agency_1,1,Safe,
Shillong Rural,Meghalaya,2023-02-27,WS_41980,Tube Well,28.785008,91.964272,8.47,1.6,4.0,50.0,8.2,15.9,1.0,0.01,1.22,1.13,0.037,Lab Analysis,Agency_2,1,Safe,80.0
Dharmanagar Rural,Tripura,2023-02-28,WS_91453,Well,28.050582,90.035548,7.61,2.8,48.0,39.0,5.9,36.2,0.94,0.016,0.72,0.74,0.001,Water Testing Kit,Agency_6,1,Safe,119.0
Jorethang Rural,Sikkim,2023-02-28,WS_66410,River,28.224611,90.199752,4.75,91.1,1398.0,2063.0,2.0,97.5,18.09,0.44,0.63,1.33,0.01,Lab Analysis,Agency_6,0,High,
Dharmanagar Rural,Tripura,2023-02-28,WS_22967,Tube Well,27.907376,92.847013,6.99,3.9,18.0,20.0,6.4,32.1,2.5,0.041,1.55,0.62,0.029,Water Testing Kit,Agency_5,1,Safe,119.0
Aizawl Rural,Mizoram,2023-02-28,WS_11029,River,27.288117,90.637528,5.64,98.2,1553.0,1736.0,3.6,184.4,8.54,0.2,0.76,0.4,0.015,Water Testing Kit,Agency_7,0,High,
Khowai Village,Tripura,2023-02-28,WS_20275,River,27.259573,90.436717,7.21,4.4,20.0,43.0,5.0,3.0,0.45,0.009,0.8,1.4,0.037,Water Testing Kit,Agency_2,1,Safe,
Ukhrul Village,Manipur,2023-02-28,WS_13586,Tube Well,24.09428,90.828711,7.02,4.9,45.0,21.0,7.5,27.0,1.98,0.047,0.78,1.25,0.003,IoT Sensor,Agency_9,1,Safe,174.0
Gyalshing Rural,Sikkim,2023-02-28,WS_78769,Pond,25.893919,95.605507,6.96,0.5,3.0,26.0,5.5,16.8,0.52,0.017,0.78,0.68,0.017,Water Testing Kit,Agency_3,1,Safe,
Dimapur Village,Nagaland,2023-03-01,WS_27745,River,26.413842,90.613929,7.47,1.4,23.0,98.0,7.6,12.8,2.84,0.019,0.93,0.5,0.037,IoT Sensor,Agency_2,1,Safe,
Nagaon Rural,Assam,2023-03-01,WS_96671,River,27.784292,93.657005,6.34,74.1,425.0,4874.0,3.1,63.6,8.42,1.74,1.79,0.9,0.041,Lab Analysis,Agency_9,0,High,
Gyalshing Rural,Sikkim,2023-03-01,WS_70254,Piped Supply,27.230768,88.256289,7.57,3.3,23.0,4.0,8.7,1.4,2.32,0.015,1.68,0.52,0.04,IoT Sensor,Agency_4,1,Safe,
Singtam Village,Sikkim,2023-03-01,WS_89699,Well,25.77581,95.740086,8.09,5.7,20.0,94.0,6.6,15.8,0.43,0.004,0.95,0.72,0.013,IoT Sensor,Agency_8,1,Safe,137.0
Imphal Rural,Manipur,2023-03-01,WS_19722,Well,24.266018,94.938486,7.68,1.8,20.0,57.0,8.0,14.4,0.81,0.037,0.32,0.88,0.014,Water Testing Kit,Agency_6,1,Safe,139.0
Belonia Rural,Tripura,2023-03-01,WS_46450,River,28.210962,89.668976,7.69,3.0,34.0,13.0,7.9,26.1,1.46,0.006,1.99,0.84,0.007,IoT Sensor,Agency_1,1,Safe,
Jorethang Rural,Sikkim,2023-03-01,WS_55039,Tube Well,27.597701,92.053834,6.58,4.0,30.0,7.0,5.2,20.9,0.01,0.002,0.96,1.03,0.024,IoT Sensor,Agency_3,1,Safe,100.0
Jiribam Village,Manipur,2023-03-02,WS_27547,Piped Supply,26.704121,90.848553,5.42,88.2,323.0,3592.0,1.1,199.0,18.64,1.94,0.83,0.61,0.017,Water Testing Kit,Agency_9,0,High,
Udaipur Village,Tripura,2023-03-02,WS_66894,River,24.094576,93.126521,6.12,17.4,1107.0,4216.0,1.1,92.3,6.03,1.23,1.31,0.5,0.002,IoT Sensor,Agency_9,0,High,
Gangtok Rural,Sikkim,2023-03-02,WS_27026,Well,26.25563,88.562883,7.9,7.1,49.0,48.0,8.2,26.0,2.93,0.012,0.94,1.01,0.049,IoT Sensor,Agency_5,1,Safe,123.0
Thoubal Village,Manipur,2023-03-02,WS_20549,Spring,28.5928,93.847279,7.37,6.7,23.0,76.0,9.0,32.6,0.04,0.009,0.18,0.75,0.043,IoT Sensor,Agency_3,1,Safe,
Kohima Rural,Nagaland,2023-03-02,WS_51768,Piped Supply,28.650708,89.761437,7.43,6.8,42.0,70.0,8.8,20.4,2.19,0.042,1.82,1.07,0.044,Water Testing Kit,Agency_8,1,Safe,
Tezpur Village,Arunachal Pradesh,2023-03-02,WS_72188,Tube Well,23.609948,88.86372,6.61,5.7,5.0,21.0,8.8,16.3,0.17,0.026,1.01,0.5,0.008,IoT Sensor,Agency_2,1,Safe,162.0
Singtam Village,Sikkim,2023-03-02,WS_52689,Well,25.938306,95.529617,7.97,7.2,22.0,6.0,5.9,43.7,1.86,0.011,0.45,0.6,0.022,Water Testing Kit,Agency_7,1,Safe,83.0
Williamnagar Village,Meghalaya,2023-03-03,WS_67205,Well,25.431444,89.133005,7.3,6.5,9.0,88.0,6.4,11.4,1.23,0.028,1.17,0.06,0.036,Water Testing Kit,Agency_2,1,Safe,44.0
Silchar Village,Assam,2023-03-03,WS_52025,Tube Well,25.530526,93.69739,5.37,28.2,353.0,3662.0,3.3,160.9,13.08,1.98,0.86,1.27,0.029,IoT Sensor,Agency_1,0,High,31.0
Kolasib Rural,Mizoram,2023-03-03,WS_92640,Piped Supply,28.430974,90.07061,8.05,7.4,15.0,82.0,6.0,19.5,2.07,0.012,1.73,0.46,0.011,IoT Sensor,Agency_6,1,Safe,
Aizawl Rural,Mizoram,2023-03-03,WS_80763,Pond,27.20247,95.623875,5.22,21.7,1807.0,3281.0,3.6,166.4,6.37,0.51,1.57,1.18,0.013,Lab Analysis,Agency_3,0,High,
Khliehriat Village,Meghalaya,2023-03-03,WS_66066,Well,27.425286,92.16481,6.69,2.2,25.0,5.0,6.6,15.8,1.94,0.036,0.76,0.55,0.021,IoT Sensor,Agency_5,1,Safe,104.0
Resubelpara Rural,Meghalaya,2023-03-03,WS_58058,Pond,23.300765,88.784235,5.04,54.3,1141.0,3183.0,1.2,142.0,12.04,0.59,1.36,0.89,0.032,IoT Sensor,Agency_5,0,High,
Hnahthial Village,Mizoram,2023-03-03,WS_25117,Piped Supply,25.508896,93.528008,7.34,4.9,23.0,75.0,7.4,10.2,2.61,0.011,1.54,0.36,0.009,Water Testing Kit,Agency_3,1,Safe,
Agartala Rural,Tripura,2023-03-04,WS_72583,Tube Well,27.43317,96.632533,7.19,3.9,28.0,86.0,5.5,4.9,0.95,0.021,0.29,0.35,0.019,IoT Sensor,Agency_8,1,Safe,41.0
Teliamura Rural,Tripura,2023-03-04,WS_98506,Piped Supply,26.73668,95.601764,8.32,5.1,14.0,8.0,6.7,31.9,0.85,0.006,0.47,1.18,0.02,Lab Analysis,Agency_3,1,Safe,
Tamenglong Rural,Manipur,2023-03-04,WS_51682,Spring,25.18891,91.905772,5.29,17.1,895.0,2044.0,3.8,103.7,21.7,1.56,0.82,0.17,0.006,IoT Sensor,Agency_7,0,High,
Teliamura Rural,Tripura,2023-03-04,WS_50774,Well,24.130107,88.341992,5.22,82.6,1444.0,712.0,3.4,119.1,5.65,0.53,0.59,1.19,0.047,Water Testing Kit,Agency_1,0,High,5.0
Agartala Rural,Tripura,2023-03-04,WS_29652,River,28.391118,94.361503,5.87,32.0,800.0,2131.0,1.2,104.8,23.0,1.8,1.07,1.17,0.026,IoT Sensor,Agency_1,0,High,
Zunheboto Village,Nagaland,2023-03-04,WS_27625,Pond,24.077847,95.616386,4.75,33.9,1545.0,3847.0,2.2,102.4,13.37,0.67,1.11,0.68,0.038,Water Testing Kit,Agency_7,0,High,
Belonia Rural,Tripura,2023-03-04,WS_92650,Well,23.956166,95.375883,7.0,2.5,49.0,57.0,7.4,29.5,1.19,0.049,1.22,0.72,0.018,Lab Analysis,Agency_2,1,Safe,41.0
Namchi Village,Sikkim,2023-03-05,WS_54900,Well,26.556242,90.863628,8.32,3.2,13.0,31.0,8.9,18.3,2.74,0.003,0.84,0.32,0.031,Water Testing Kit,Agency_1,1,Safe,137.0
Hnahthial Village,Mizoram,2023-03-05,WS_83796,Piped Supply,27.729796,95.476714,8.48,0.9,24.0,97.0,8.5,44.6,1.75,0.034,0.05,1.46,0.031,IoT Sensor,Agency_5,1,Safe,
Roing Village,Arunachal Pradesh,2023-03-05,WS_20159,Piped Supply,28.272032,92.12243,7.11,0.3,44.0,9.0,5.7,43.3,1.5,0.044,0.69,0.94,0.031,Lab Analysis,Agency_6,1,Safe,
Mokokchung Rural,Nagaland,2023-03-05,WS_92453,River,25.38256,91.810898,6.87,2.4,36.0,1.0,8.0,30.4,0.39,0.012,0.21,0.53,0.046,IoT Sensor,Agency_1,1,Safe,
Tawang Rural,Arunachal Pradesh,2023-03-05,WS_61943,Pond,23.882017,94.176053,6.59,6.7,28.0,65.0,5.8,25.1,1.59,0.031,1.14,0.56,0.05,Lab Analysis,Agency_6,1,Safe,
Thoubal Village,Manipur,2023-03-05,WS_27171,River,24.190759,88.408242,4.71,69.1,466.0,864.0,1.5,153.3,7.77,1.95,1.42,1.06,0.03,Water Testing Kit,Agency_5,0,High,
Churachandpur Village,Manipur,2023-03-05,WS_53194,Piped Supply,26.464503,95.86145,7.64,6.8,39.0,34.0,8.5,17.5,1.5,0.031,0.71,0.36,0.024,IoT Sensor,Agency_8,1,Safe,
Kiphire Village,Nagaland,2023-03-06,WS_46018,River,25.902354,96.276869,5.16,20.4,1505.0,4438.0,1.1,128.8,16.32,0.93,1.08,0.11,0.048,Water Testing Kit,Agency_5,0,High,
Udaipur Village,Tripura,2023-03-06,WS_56608,Piped Supply,27.730491,96.003614,7.98,4.2,3.0,37.0,7.5,28.3,2.92,0.03,1.23,0.72,0.043,IoT Sensor,Agency_7,1,Safe,
Naharlagun Village,Arunachal Pradesh,2023-03-06,WS_23119,River,25.662305,88.45053,5.81,31.0,733.0,2190.0,2.9,59.8,11.82,0.62,1.85,0.88,0.036,IoT Sensor,Agency_9,0,High,
Nagaon Rural,Assam,2023-03-06,WS_91660,Piped Supply,24.801265,92.530632,7.2,7.6,31.0,61.0,7.6,20.8,0.5,0.008,1.98,0.39,0.02,Water Testing Kit,Agency_5,1,Safe,
Phek Rural,Nagaland,2023-03-06,WS_52861,Piped Supply,23.734852,91.181721,7.75,6.5,15.0,37.0,8.8,12.0,1.26,0.033,0.25,0.98,0.036,IoT Sensor,Agency_4,1,Safe,
Jiribam Village,Manipur,2023-03-06,WS_57054,Pond,25.427604,88.098741,7.86,4.4,40.0,99.0,6.0,16.0,1.45,0.027,1.75,0.99,0.009,Water Testing Kit,Agency_3,1,Safe,
Churachandpur Village,Manipur,2023-03-06,WS_62411,Pond,28.815208,93.77624,6.2,38.6,1441.0,3358.0,3.1,129.5,19.59,1.07,0.19,0.48,0.021,IoT Sensor,Agency_3,0,High,
Tamenglong Rural,Manipur,2023-03-07,WS_66963,River,24.962634,90.968434,6.23,88.4,920.0,3367.0,2.5,76.4,12.52,1.72,1.74,0.09,0.01,Water Testing Kit,Agency_7,0,High,
Kiphire Village,Nagaland,2023-03-07,WS_78494,Piped Supply,25.160153,95.461736,5.36,30.7,1977.0,4995.0,1.2,150.2,21.26,0.72,1.13,0.15,0.024,Water Testing Kit,Agency_6,0,High,
Dibrugarh Rural,Assam,2023-03-07,WS_30879,Well,27.278893,94.581699,6.63,5.8,22.0,20.0,5.4,41.7,0.13,0.005,1.28,1.16,0.0,IoT Sensor,Agency_9,1,Safe,20.0
Kiphire Village,Nagaland,2023-03-07,WS_94774,Well,23.677934,89.412854,7.43,3.8,6.0,44.0,8.1,18.4,1.46,0.048,0.0,0.33,0.033,Lab Analysis,Agency_3,1,Safe,79.0
Mangan Village,Sikkim,2023-03-07,WS_45938,River,23.240928,95.328533,5.86,29.7,1557.0,3976.0,2.3,79.0,17.6,1.72,1.52,0.75,0.02,Water Testing Kit,Agency_8,0,High,
Guwahati Rural,Assam,2023-03-07,WS_78017,Pond,24.992042,91.53527,6.06,58.3,569.0,287.0,2.6,162.8,20.33,0.51,0.25,0.74,0.038,Lab Analysis,Agency_5,0,High,
Senapati Rural,Manipur,2023-03-07,WS_18151,Well,26.948551,95.569874,8.49,3.6,33.0,17.0,8.4,12.0,2.95,0.042,1.43,0.91,0.018,Lab Analysis,Agency_4,1,Safe,178.0
Kiphire Village,Nagaland,2023-03-08,WS_59571,Piped Supply,24.883195,92.504115,6.62,3.9,33.0,2.0,7.8,10.1,0.67,0.028,1.44,1.07,0.046,IoT Sensor,Agency_9,1,Safe,
Baghmara Rural,Meghalaya,2023-03-08,WS_59223,Well,23.414114,88.553058,4.7,38.3,878.0,3050.0,1.6,90.5,18.98,1.83,0.29,0.32,0.044,IoT Sensor,Agency_7,0,High,44.0
Pasighat Rural,Arunachal Pradesh,2023-03-08,WS_50462,Well,27.591325,88.370769,7.77,7.0,16.0,53.0,8.6,34.7,2.67,0.014,1.69,0.77,0.029,Water Testing Kit,Agency_2,1,Safe,168.0
Mangan Village,Sikkim,2023-03-08,WS_28166,Piped Supply,28.176495,95.235751,7.85,5.8,20.0,99.0,6.4,3.8,0.91,0.005,0.19,0.53,0.019,IoT Sensor,Agency_7,1,Safe,
Jorhat Village,Assam,2023-03-08,WS_29292,Tube Well,24.432844,88.617969,7.48,6.2,30.0,34.0,6.0,34.1,1.29,0.046,1.84,1.34,0.02,Lab Analysis,Agency_9,1,Safe,74.0
Kiphire Village,Nagaland,2023-03-08,WS_46174,Pond,27.328926,89.07743,6.62,0.3,21.0,15.0,7.2,0.4,1.38,0.015,0.92,1.29,0.025,IoT Sensor,Agency_9,1,Safe,
Williamnagar Village,Meghalaya,2023-03-08,WS_20100,Tube Well,27.171066,95.024083,5.9,40.4,1745.0,461.0,4.0,165.3,10.69,1.55,1.52,0.45,0.012,Lab Analysis,Agency_4,0,High,160.0
Rangpo Rural,Sikkim,2023-03-09,WS_89727,Piped Supply,25.696663,93.207191,7.61,6.2,3.0,10.0,5.1,7.4,0.36,0.023,0.74,0.39,0.02,IoT Sensor,Agency_8,1,Safe,
Kiphire Village,Nagaland,2023-03-09,WS_11653,River,26.301439,90.01707,7.6,0.2,18.0,44.0,6.4,24.6,1.54,0.009,0.07,1.36,0.026,Water Testing Kit,Agency_7,1,Safe,
Williamnagar Village,Meghalaya,2023-03-09,WS_20266,Piped Supply,27.268584,96.684866,8.29,1.2,18.0,70.0,8.5,14.5,1.68,0.001,0.67,1.12,0.037,IoT Sensor,Agency_4,1,Safe,
Dibrugarh Rural,Assam,2023-03-09,WS_50927,Well,23.426199,95.12958,8.45,4.2,4.0,5.0,5.2,17.5,2.6,0.042,0.29,0.32,0.035,IoT Sensor,Agency_5,1,Safe,130.0
Imphal Rural,Manipur,2023-03-09,WS_82809,Tube Well,24.008728,91.576407,7.13,2.7,10.0,52.0,6.5,0.7,1.18,0.003,0.68,0.59,0.033,Water Testing Kit,Agency_9,1,Safe,159.0
Ukhrul Village,Manipur,2023-03-09,WS_45155,Well,27.962966,92.079602,7.69,0.8,34.0,18.0,8.4,18.1,0.66,0.033,0.3,1.19,0.007,Water Testing Kit,Agency_6,1,Safe,194.0
Gyalshing Rural,Sikkim,2023-03-09,WS_19076,Piped Supply,25.364774,89.841128,6.88,6.1,14.0,68.0,6.0,10.8,1.37,0.041,1.1,1.02,0.02,Water Testing Kit,Agency_4,1,Safe,
Dharmanagar Rural,Tripura,2023-03-10,WS_58381,Well,27.570727,88.915981,7.01,7.8,37.0,30.0,5.6,28.1,2.59,0.029,1.37,0.17,0.025,IoT Sensor,Agency_8,1,Safe,121.0
Dibrugarh Rural,Assam,2023-03-10,WS_97521,Tube Well,24.515624,91.296676,6.53,5.1,22.0,86.0,6.7,18.5,1.36,0.043,0.77,0.15,0.04,Water Testing Kit,Agency_3,1,Safe,51.0
Teliamura Rural,Tripura,2023-03-10,WS_40236,Piped Supply,28.368747,92.868387,7.99,6.2,4.0,74.0,5.3,21.8,2.08,0.013,0.18,1.25,0.04,Water Testing Kit,Agency_3,1,Safe,
Agartala Rural,Tripura,2023-03-10,WS_11141,River,27.894404,95.24659,7.65,2.2,1.0,81.0,5.4,3.5,2.33,0.002,1.7,1.15,0.003,Lab Analysis,Agency_1,1,Safe,
Wokha Rural,Nagaland,2023-03-10,WS_64088,Piped Supply,24.257596,89.854951,8.21,0.3,42.0,62.0,6.0,0.3,1.56,0.021,0.52,0.86,0.026,Lab Analysis,Agency_9,1,Safe,
Nongpoh Village,Meghalaya,2023-03-10,WS_66121,Piped Supply,25.259901,96.426513,6.9,5.4,29.0,33.0,7.5,9.4,2.5,0.001,0.76,1.15,0.008,Water Testing Kit,Agency_2,1,Safe,
Thoubal Village,Manipur,2023-03-10,WS_12237,Well,27.964364,91.788131,6.05,54.8,1041.0,4478.0,3.7,66.9,12.47,1.8,0.64,0.25,0.007,Lab Analysis,Agency_9,0,High,76.0
Ukhrul Village,Manipur,2023-03-11,WS_17616,Well,23.64514,91.384538,8.13,6.1,7.0,96.0,6.1,31.8,0.9,0.031,0.27,1.41,0.024,Water Testing Kit,Agency_2,1,Safe,164.0
Belonia Rural,Tripura,2023-03-11,WS_33607,Well,25.592626,96.828772,7.39,6.3,48.0,54.0,6.2,35.7,2.79,0.012,0.04,1.22,0.005,Water Testing Kit,Agency_8,1,Safe,104.0
Zunheboto Village,Nagaland,2023-03-11,WS_33194,Pond,27.13512,91.996717,7.86,5.1,39.0,23.0,7.5,28.7,1.96,0.03,1.07,0.16,0.018,IoT Sensor,Agency_2,1,Safe,
Williamnagar Village,Meghalaya,2023-03-11,WS_30197,Well,25.204768,89.420746,6.81,4.7,14.0,11.0,7.4,39.8,0.42,0.045,1.84,0.36,0.036,IoT Sensor,Agency_4,1,Safe,6.0
Imphal Rural,Manipur,2023-03-11,WS_65571,Tube Well,26.659427,91.200364,6.75,3.7,13.0,71.0,7.2,15.3,0.99,0.006,1.67,0.73,0.04,IoT Sensor,Agency_5,1,Safe,140.0
Senapati Rural,Manipur,2023-03-11,WS_87658,River,28.316286,90.86179,6.82,4.8,36.0,37.0,7.8,37.7,0.03,0.037,1.69,0.51,0.045,Water Testing Kit,Agency_8,1,Safe,
Amarpur Village,Tripura,2023-03-11,WS_59419,Well,27.472772,91.774983,8.01,5.2,49.0,12.0,7.9,2.5,1.07,0.017,1.13,1.2,0.013,IoT Sensor,Agency_9,1,Safe,169.0
Ziro Village,Arunachal Pradesh,2023-03-12,WS_72263,River,24.336237,90.301904,7.35,6.2,20.0,62.0,5.2,27.0,0.95,0.05,0.07,0.15,0.015,Lab Analysis,Agency_5,1,Safe,
Thoubal Village,Manipur,2023-03-12,WS_52158,Well,27.842064,88.641393,7.07,6.9,2.0,35.0,7.2,10.6,0.17,0.004,1.19,0.72,0.04,IoT Sensor,Agency_5,1,Safe,57.0
Champhai Rural,Mizoram,2023-03-12,WS_59539,Tube Well,27.772721,92.876515,5.91,32.5,300.0,2095.0,2.7,174.1,17.69,1.03,0.88,0.4,0.027,IoT Sensor,Agency_5,0,High,54.0
Serchhip Village,Mizoram,2023-03-12,WS_16327,River,25.79344,90.589051,6.22,48.2,1781.0,2108.0,1.1,160.7,23.4,0.58,0.59,0.97,0.005,Water Testing Kit,Agency_5,0,High,
Resubelpara Rural,Meghalaya,2023-03-12,WS_38792,River,23.204277,89.038734,7.77,7.1,50.0,94.0,8.1,30.9,0.11,0.027,1.9,1.44,0.044,Water Testing Kit,Agency_1,1,Safe,
Namchi Village,Sikkim,2023-03-12,WS_12059,River,26.273095,95.108796,7.85,7.2,16.0,62.0,7.3,44.3,2.63,0.008,0.32,1.38,0.029,IoT Sensor,Agency_6,1,Safe,
Jowai Rural,Meghalaya,2023-03-12,WS_65019,Tube Well,27.810119,92.360894,8.23,6.2,14.0,27.0,8.2,8.3,0.33,0.001,0.51,0.9,0.004,IoT Sensor,Agency_4,1,Safe,117.0
Karimganj Village,Assam,2023-03-13,WS_44670,Pond,28.997713,89.324779,6.51,7.4,39.0,17.0,7.4,0.9,0.65,0.009,0.63,1.32,0.007,IoT Sensor,Agency_9,1,Safe,
Belonia Rural,Tripura,2023-03-13,WS_50221,Piped Supply,27.266037,96.820295,7.19,4.3,38.0,77.0,5.0,3.5,0.01,0.001,1.64,0.1,0.045,Lab Analysis,Agency_4,1,Safe,
Dharmanagar Rural,Tripura,2023-03-13,WS_45869,Pond,26.85324,89.111762,7.77,1.1,6.0,94.0,6.2,29.9,0.11,0.028,0.27,0.1,0.047,IoT Sensor,Agency_8,1,Safe,
Singtam Village,Sikkim,2023-03-13,WS_28200,Pond,24.425578,89.204856,8.01,5.1,39.0,43.0,7.2,2.9,1.28,0.022,1.4,0.93,0.029,Water Testing Kit,Agency_1,1,Safe,
Senapati Rural,Manipur,2023-03-13,WS_67601,Pond,26.69563,96.17429,8.34,3.6,20.0,16.0,7.7,25.1,2.96,0.029,0.89,0.38,0.048,IoT Sensor,Agency_7,1,Safe,
Jorhat Village,Assam,2023-03-13,WS_69367,Tube Well,23.274116,92.098218,7.27,6.9,44.0,55.0,7.5,26.0,0.05,0.027,0.61,1.16,0.024,IoT Sensor,Agency_7,1,Safe,165.0
Champhai Rural,Mizoram,2023-03-13,WS_51215,Tube Well,26.125066,94.311664,6.81,1.0,15.0,27.0,8.3,34.1,0.18,0.01,0.33,1.17,0.047,Water Testing Kit,Agency_9,1,Safe,51.0
Churachandpur Village,Manipur,2023-03-14,WS_30226,Tube Well,27.451103,95.157248,7.86,5.1,27.0,99.0,8.6,32.0,2.03,0.004,0.95,0.61,0.017,Water Testing Kit,Agency_4,1,Safe,56.0
Mokokchung Rural,Nagaland,2023-03-14,WS_77804,River,24.027092,88.656377,4.84,77.1,489.0,547.0,2.3,156.3,16.6,0.56,1.93,1.43,0.016,Lab Analysis,Agency_4,0,High,
Champhai Rural,Mizoram,2023-03-14,WS_23068,Well,25.000694,95.561565,7.57,2.4,0.0,74.0,6.6,13.5,0.58,0.043,1.62,0.04,0.007,IoT Sensor,Agency_5,1,Safe,81.0
Resubelpara Rural,Meghalaya,2023-03-14,WS_96883,River,23.954534,88.98193,7.08,4.6,3.0,26.0,6.3,16.3,0.48,0.004,1.56,1.27,0.04,Water Testing Kit,Agency_4,1,Safe,
Tura Village,Meghalaya,2023-03-14,WS_36071,River,24.530881,89.010693,7.27,1.2,39.0,26.0,6.8,28.5,2.9,0.002,1.19,0.23,0.044,Water Testing Kit,Agency_5,1,Safe,
Karimganj Village,Assam,2023-03-14,WS_21366,Well,23.649964,88.266773,6.55,6.8,10.0,73.0,5.4,21.3,2.79,0.004,1.62,0.4,0.018,IoT Sensor,Agency_8,1,Safe,156.0
Itanagar Rural,Arunachal Pradesh,2023-03-14,WS_43320,River,24.421845,95.910569,6.15,22.9,451.0,4735.0,1.8,86.6,13.51,1.48,0.22,0.11,0.046,IoT Sensor,Agency_2,0,High,
