village,state,date,season,month,daily_rainfall_mm,weekly_rainfall_mm,monthly_rainfall_mm,temperature_celsius,max_temperature_celsius,min_temperature_celsius,humidity_percent,wind_speed_kmh,wind_direction,atmospheric_pressure_hpa,solar_radiation_mj_m2,evaporation_rate_mm,flood_risk_level,drought_indicator,weather_station_id,data_source
Roing Village,Arunachal Pradesh,2023-02-23,Winter,2,0.7,5.0,40.1,12.7,20.1,9.9,66.8,8.2,S,1009.6,15.9,9.0,Low,No,WS_5869,IMD
Belonia Rural,Tripura,2023-02-23,Winter,2,2.0,14.9,33.6,15.0,18.2,11.4,60.9,9.7,NE,1006.7,29.1,7.9,Medium,Mild,WS_4959,Satellite
Nongpoh Village,Meghalaya,2023-02-23,Winter,2,1.5,10.1,58.3,19.6,26.8,16.1,66.3,4.3,SE,1012.5,19.5,9.7,Low,No,WS_3491,Local Station
Tawang Rural,Arunachal Pradesh,2023-02-23,Winter,2,1.0,6.5,59.8,12.6,15.2,10.6,56.3,7.1,E,1010.5,27.8,6.8,Medium,No,WS_8961,Local Station
Roing Village,Arunachal Pradesh,2023-02-23,Winter,2,3.1,22.5,54.3,21.8,29.6,16.9,67.5,4.2,SE,1004.4,16.6,10.1,Low,No,WS_2857,Local Station
Belonia Rural,Tripura,2023-02-24,Winter,2,2.3,18.1,15.9,21.9,25.2,19.0,71.9,14.8,S,1003.9,27.2,11.0,Low,No,WS_3604,Local Station
Udaipur Village,Tripura,2023-02-24,Winter,2,3.2,21.7,21.4,23.9,29.0,20.6,51.5,3.0,E,1005.3,30.0,2.2,Low,No,WS_3817,IMD
Champhai Rural,Mizoram,2023-02-24,Winter,2,2.0,15.2,22.9,16.0,24.0,10.7,63.9,6.9,S,1018.2,28.1,10.9,Medium,Moderate,WS_6180,IMD
Mokokchung Rural,Nagaland,2023-02-24,Winter,2,0.8,4.7,31.9,18.0,23.6,12.9,64.5,18.2,N,1004.7,22.1,6.1,Low,No,WS_6475,Satellite
Roing Village,Arunachal Pradesh,2023-02-24,Winter,2,3.6,28.3,12.1,12.8,19.5,7.7,51.3,20.3,NE,1010.9,19.6,10.8,Low,Moderate,WS_9315,Satellite
Jorethang Rural,Sikkim,2023-02-24,Winter,2,6.2,37.0,59.6,15.4,19.7,12.4,57.8,15.2,S,1011.4,20.1,11.0,Low,Moderate,WS_1958,IMD
Resubelpara Rural,Meghalaya,2023-02-24,Winter,2,3.9,26.0,69.0,15.8,19.8,12.7,63.8,24.0,NW,1005.1,28.6,11.5,Low,No,WS_2263,IMD
Dharmanagar Rural,Tripura,2023-02-25,Winter,2,2.7,19.8,31.4,13.0,16.5,10.7,65.2,12.2,NE,1006.2,26.7,6.0,Low,Mild,WS_8337,Local Station
Barpeta Village,Assam,2023-02-25,Winter,2,1.0,6.2,50.7,14.2,19.7,12.1,56.8,8.4,W,1002.1,18.0,7.6,Low,No,WS_9250,IMD
Singtam Village,Sikkim,2023-02-25,Winter,2,2.3,15.3,67.2,15.3,17.9,11.9,61.7,23.8,SW,1011.6,26.3,9.5,Medium,No,WS_8817,IMD
Tezpur Village,Arunachal Pradesh,2023-02-25,Winter,2,0.0,0.0,77.4,12.4,16.2,7.2,64.4,8.2,SW,1010.5,29.1,9.7,Medium,No,WS_7755,IMD
Saitual Rural,Mizoram,2023-02-25,Winter,2,3.7,23.4,32.6,18.8,23.2,14.2,56.7,12.3,S,1013.2,29.8,4.6,Low,Mild,WS_5922,IMD
Dharmanagar Rural,Tripura,2023-02-25,Winter,2,1.2,8.0,32.1,12.9,15.2,8.4,63.6,17.2,SE,1019.8,24.3,8.1,Low,Mild,WS_5343,Local Station
Silchar Village,Assam,2023-02-25,Winter,2,5.1,30.2,20.0,14.7,21.7,9.3,72.2,9.7,S,1003.1,30.0,3.7,Low,No,WS_1394,IMD
Singtam Village,Sikkim,2023-02-26,Winter,2,3.0,21.9,62.7,18.4,20.9,13.1,52.1,2.7,N,1004.2,24.2,6.5,Low,No,WS_9912,Local Station
Aizawl Rural,Mizoram,2023-02-26,Winter,2,0.6,3.4,42.7,16.0,18.1,11.2,73.8,6.7,N,1009.9,17.6,2.9,Low,No,WS_6278,IMD
Zunheboto Village,Nagaland,2023-02-26,Winter,2,3.0,19.2,43.9,16.1,23.8,10.9,58.1,3.4,NW,1001.0,26.7,2.0,Low,No,WS_3040,Satellite
Williamnagar Village,Meghalaya,2023-02-26,Winter,2,1.2,8.0,62.4,17.3,21.3,14.5,53.9,6.5,E,1010.9,22.6,6.6,Low,Mild,WS_9760,Local Station
Kohima Rural,Nagaland,2023-02-26,Winter,2,0.2,1.7,29.7,14.3,16.9,10.3,70.4,19.4,SW,1019.3,16.0,4.9,Medium,Moderate,WS_1691,IMD
Kohima Rural,Nagaland,2023-02-26,Winter,2,2.9,20.2,77.3,18.3,25.9,12.6,51.7,4.9,S,1006.4,22.0,11.6,Low,No,WS_4339,Satellite
Kiphire Village,Nagaland,2023-02-26,Winter,2,0.1,0.8,39.8,17.9,24.1,15.0,64.0,23.7,N,1012.6,29.9,11.7,Low,No,WS_9308,Satellite
Itanagar Rural,Arunachal Pradesh,2023-02-27,Winter,2,4.7,28.3,32.4,19.5,25.2,17.2,50.0,10.6,S,1008.3,29.6,3.6,Medium,Mild,WS_3235,IMD
Wokha Rural,Nagaland,2023-02-27,Winter,2,3.4,23.5,22.8,15.0,17.8,10.6,59.7,23.8,S,1001.4,27.3,10.0,High,Moderate,WS_9320,IMD
Guwahati Rural,Assam,2023-02-27,Winter,2,2.4,16.2,39.9,23.9,30.7,19.8,53.0,18.2,S,1005.7,17.4,4.4,Low,Moderate,WS_6923,Satellite
Pakyong Village,Sikkim,2023-02-27,Winter,2,0.5,3.2,44.2,17.9,25.4,13.9,57.7,2.4,SW,1016.5,16.2,9.9,Low,No,WS_1897,IMD
Gyalshing Rural,Sikkim,2023-02-27,Winter,2,1.3,9.2,14.6,15.0,22.2,10.6,50.9,14.8,S,1016.3,20.3,3.1,Low,No,WS_5879,IMD
Namchi Village,Sikkim,2023-02-27,Winter,2,1.7,13.6,66.3,19.1,22.5,14.9,73.0,15.3,W,1016.0,17.8,3.9,Medium,Moderate,WS_5371,Satellite
Barpeta Village,Assam,2023-02-27,Winter,2,3.8,30.9,45.8,24.7,31.0,21.3,63.1,12.1,W,1000.9,23.7,11.4,High,No,WS_8458,Satellite
Tezpur Rural,Assam,2023-02-28,Winter,2,0.5,3.2,52.1,24.0,30.1,20.9,50.6,13.0,N,1005.3,27.6,5.0,Low,No,WS_2086,Local Station
Bishnupur Rural,Manipur,2023-02-28,Winter,2,1.8,12.2,67.4,16.4,19.4,13.9,71.9,21.4,N,1002.9,28.6,2.8,Low,No,WS_5639,IMD
Resubelpara Rural,Meghalaya,2023-02-28,Winter,2,0.0,0.0,14.0,12.6,16.1,9.4,69.9,2.3,SW,1017.3,18.0,11.5,Medium,No,WS_3360,Local Station
Shillong Rural,Meghalaya,2023-02-28,Winter,2,2.5,20.0,69.3,22.0,24.2,20.0,62.2,5.4,SW,1008.0,20.8,11.0,Medium,No,WS_9989,IMD
Gangtok Rural,Sikkim,2023-02-28,Winter,2,0.5,4.2,69.2,13.9,16.6,11.3,69.5,15.0,NW,1009.1,24.6,5.4,Low,No,WS_6840,IMD
Udaipur Village,Tripura,2023-02-28,Winter,2,1.7,11.6,74.8,16.4,21.8,13.5,60.6,5.8,E,1014.4,27.3,9.0,High,Mild,WS_5282,Local Station
Tuensang Village,Nagaland,2023-02-28,Winter,2,3.5,23.9,68.5,19.7,24.2,16.3,61.6,5.3,N,1016.1,27.1,5.1,High,No,WS_5798,IMD
Barpeta Village,Assam,2023-03-01,Winter,3,0.1,0.7,60.3,15.8,20.9,13.1,64.5,11.9,W,1003.1,25.1,9.7,Low,No,WS_6036,IMD
Dharmanagar Rural,Tripura,2023-03-01,Winter,3,2.4,16.8,22.5,17.7,24.9,13.8,63.0,17.8,S,1015.2,28.0,5.4,Low,Mild,WS_4635,IMD
Agartala Rural,Tripura,2023-03-01,Winter,3,0.5,3.5,31.3,18.8,22.6,14.3,58.8,11.6,E,1012.9,22.2,3.0,Low,Mild,WS_7568,Satellite
Tawang Rural,Arunachal Pradesh,2023-03-01,Winter,3,0.8,5.8,16.0,17.9,24.5,13.5,62.9,10.6,NE,1015.8,25.0,7.7,Medium,No,WS_5656,Satellite
Jorhat Village,Assam,2023-03-01,Winter,3,0.4,2.4,13.7,16.1,23.0,10.6,72.4,20.3,SW,1001.9,23.4,5.8,Medium,Mild,WS_3545,IMD
Champhai Rural,Mizoram,2023-03-01,Winter,3,3.0,25.1,11.1,20.5,23.5,16.4,52.2,7.3,SW,1010.7,19.8,2.1,High,No,WS_8902,Local Station
Dimapur Village,Nagaland,2023-03-01,Winter,3,3.3,19.3,32.6,13.6,17.1,11.0,70.3,6.4,E,1006.8,28.2,8.7,Low,No,WS_9143,IMD
Jiribam Village,Manipur,2023-03-02,Winter,3,0.1,0.7,33.4,20.8,25.4,18.2,68.8,13.4,NE,1009.3,20.0,9.0,Low,No,WS_8003,IMD
Dibrugarh Rural,Assam,2023-03-02,Winter,3,0.3,2.4,19.5,23.7,31.0,20.3,52.1,21.8,SW,1009.6,17.3,7.3,Medium,No,WS_6237,IMD
Saitual Rural,Mizoram,2023-03-02,Winter,3,0.7,4.3,74.0,22.7,26.4,19.8,59.6,13.0,SW,1017.5,16.2,9.8,Low,No,WS_4519,Local Station
Imphal Rural,Manipur,2023-03-02,Winter,3,0.4,2.5,71.2,22.5,25.6,18.0,73.6,2.5,NW,1018.6,18.6,11.4,High,No,WS_5866,IMD
Wokha Rural,Nagaland,2023-03-02,Winter,3,2.1,12.9,64.7,24.3,26.6,18.9,63.5,20.9,S,1016.1,18.1,5.4,Low,Mild,WS_6807,IMD
Udaipur Village,Tripura,2023-03-02,Winter,3,0.1,0.6,57.8,23.4,29.7,18.1,51.7,13.2,E,1003.2,25.1,4.5,High,Mild,WS_5364,Local Station
Amarpur Village,Tripura,2023-03-02,Winter,3,3.3,24.7,59.3,23.7,28.4,19.1,57.0,6.0,SE,1006.4,24.2,6.8,Low,No,WS_8550,Satellite
Khliehriat Village,Meghalaya,2023-03-03,Winter,3,2.5,15.9,32.5,12.0,17.7,6.1,73.8,22.2,SE,1009.2,20.8,6.4,Low,No,WS_4379,Local Station
Tura Village,Meghalaya,2023-03-03,Winter,3,0.7,5.2,71.0,23.8,31.7,21.6,53.1,10.2,SE,1005.5,23.6,10.2,Low,No,WS_8566,Local Station
Jowai Rural,Meghalaya,2023-03-03,Winter,3,11.2,93.9,56.6,17.0,21.7,11.2,72.5,17.4,S,1012.1,15.4,6.9,High,No,WS_9871,IMD
Jowai Rural,Meghalaya,2023-03-03,Winter,3,1.8,10.2,45.4,20.6,25.9,15.5,61.0,5.5,NW,1016.1,23.1,4.7,Low,No,WS_6317,Local Station
Agartala Rural,Tripura,2023-03-03,Winter,3,1.7,14.0,13.6,13.4,15.4,10.5,59.3,9.0,S,1014.2,24.4,10.8,Low,No,WS_6201,IMD
Imphal Rural,Manipur,2023-03-03,Winter,3,0.4,2.3,11.2,24.7,27.0,20.0,74.2,5.1,SE,1003.8,23.5,5.1,Medium,Mild,WS_5558,Satellite
Lawngtlai Village,Mizoram,2023-03-03,Winter,3,2.9,18.5,77.6,12.4,19.5,8.8,54.3,13.5,S,1005.8,25.8,2.3,Medium,No,WS_6746,IMD
Namchi Village,Sikkim,2023-03-04,Winter,3,5.1,29.4,39.3,19.9,22.3,14.5,68.0,18.2,N,1006.7,24.9,11.2,Low,Mild,WS_8508,IMD
Kolasib Rural,Mizoram,2023-03-04,Winter,3,4.9,32.2,30.4,20.0,27.1,17.7,54.3,14.4,W,1009.8,18.6,8.7,Medium,No,WS_5548,Satellite
Champhai Rural,Mizoram,2023-03-04,Winter,3,0.4,2.9,42.5,15.9,23.7,10.4,52.2,22.8,SW,1017.9,24.4,5.2,Low,No,WS_6653,Satellite
Kohima Rural,Nagaland,2023-03-04,Winter,3,0.1,0.7,48.2,19.0,25.8,16.4,58.7,20.1,NW,1008.5,20.4,11.6,Low,No,WS_7508,IMD
Bomdila Rural,Arunachal Pradesh,2023-03-04,Winter,3,0.2,1.6,69.9,19.4,25.9,14.3,61.5,14.0,E,1003.1,15.8,10.3,Medium,No,WS_2323,Local Station
Senapati Rural,Manipur,2023-03-04,Winter,3,4.0,31.9,49.7,23.3,26.0,20.7,60.1,17.7,NE,1006.1,27.1,2.3,Low,Mild,WS_2190,IMD
Ukhrul Village,Manipur,2023-03-04,Winter,3,7.9,65.6,60.2,23.6,26.4,21.5,65.4,18.0,SW,1008.8,29.9,9.8,Medium,No,WS_5567,Satellite
Tezpur Village,Arunachal Pradesh,2023-03-05,Winter,3,0.6,4.9,21.0,18.8,24.9,16.8,55.9,7.3,SE,1006.0,19.6,5.3,Medium,No,WS_2378,Satellite
Kolasib Rural,Mizoram,2023-03-05,Winter,3,1.5,10.9,29.3,19.6,22.4,13.8,63.6,20.3,W,1005.2,18.9,5.5,Medium,No,WS_4942,IMD
Champhai Rural,Mizoram,2023-03-05,Winter,3,1.3,7.9,20.4,17.7,21.8,12.5,66.9,10.2,N,1002.2,22.9,7.2,Low,No,WS_6168,Local Station
Wokha Rural,Nagaland,2023-03-05,Winter,3,2.0,15.3,16.0,12.7,20.4,6.8,58.1,3.3,NW,1011.3,25.2,8.2,High,No,WS_5501,Satellite
Jorethang Rural,Sikkim,2023-03-05,Winter,3,1.1,8.7,61.0,17.0,22.7,11.3,52.0,19.2,N,1008.2,23.9,8.9,High,No,WS_3473,IMD
Khliehriat Village,Meghalaya,2023-03-05,Winter,3,2.3,17.3,60.0,20.1,23.2,18.1,57.0,14.8,W,1019.8,28.2,6.2,Low,No,WS_9032,Local Station
Khowai Village,Tripura,2023-03-05,Winter,3,2.1,15.9,66.6,19.4,21.7,13.4,59.0,21.2,N,1009.8,28.1,8.0,Low,No,WS_8750,Local Station
Amarpur Village,Tripura,2023-03-06,Winter,3,0.1,0.6,16.3,14.3,18.2,11.1,58.3,17.5,SE,1018.6,29.8,9.5,Low,No,WS_2385,IMD
Imphal Rural,Manipur,2023-03-06,Winter,3,2.4,19.9,51.6,24.2,31.0,19.7,51.2,5.9,SE,1002.1,20.5,5.7,Low,No,WS_2727,IMD
Pasighat Rural,Arunachal Pradesh,2023-03-06,Winter,3,13.5,102.2,52.6,14.8,19.2,9.2,54.9,23.2,SW,1003.2,17.6,9.0,Low,Moderate,WS_4486,IMD
Saitual Rural,Mizoram,2023-03-06,Winter,3,6.3,47.0,20.0,15.7,18.3,10.3,50.7,4.7,E,1010.0,20.5,6.2,Low,Mild,WS_5842,Local Station
Belonia Rural,Tripura,2023-03-06,Winter,3,0.3,2.1,58.5,20.7,23.5,18.1,71.0,5.0,E,1006.5,26.3,4.5,Low,No,WS_8995,IMD
Lawngtlai Village,Mizoram,2023-03-06,Winter,3,7.8,48.7,63.6,18.4,24.5,12.7,65.5,20.1,SW,1005.3,19.4,10.8,Low,No,WS_2506,IMD
Dimapur Village,Nagaland,2023-03-06,Winter,3,0.5,3.9,63.2,13.2,18.2,9.4,55.6,13.0,NE,1001.5,20.3,8.1,Medium,No,WS_3317,IMD
Kolasib Rural,Mizoram,2023-03-07,Winter,3,1.2,7.8,17.3,12.4,15.2,8.6,63.8,9.3,NE,1018.1,23.9,5.0,Low,No,WS_3217,Local Station
Hnahthial Village,Mizoram,2023-03-07,Winter,3,0.2,1.4,23.0,21.3,28.4,18.3,51.8,14.4,NW,1006.0,29.6,11.0,Medium,No,WS_4270,Satellite
Kohima Rural,Nagaland,2023-03-07,Winter,3,0.1,0.7,38.0,18.1,22.3,13.5,63.7,5.0,NE,1019.7,29.4,6.1,Medium,No,WS_2874,IMD
Jowai Rural,Meghalaya,2023-03-07,Winter,3,0.6,3.4,21.4,19.5,26.4,15.2,58.1,5.2,NE,1006.3,18.0,8.3,Low,No,WS_6688,Local Station
Gyalshing Rural,Sikkim,2023-03-07,Winter,3,8.6,50.5,64.8,24.0,27.5,20.2,64.5,16.8,NE,1004.2,22.1,3.6,Medium,Moderate,WS_5223,Satellite
Singtam Village,Sikkim,2023-03-07,Winter,3,0.4,2.6,78.3,22.2,26.9,19.4,59.0,10.0,SE,1006.4,20.4,11.8,Low,Moderate,WS_7373,Local Station
Teliamura Rural,Tripura,2023-03-07,Winter,3,1.1,8.7,22.6,15.7,18.9,13.5,70.9,13.7,E,1011.8,18.0,8.5,High,No,WS_5763,IMD
Barpeta Village,Assam,2023-03-08,Winter,3,2.5,15.6,53.7,18.9,23.1,14.5,63.5,12.8,SE,1013.8,27.7,9.2,Medium,No,WS_2409,Local Station
Williamnagar Village,Meghalaya,2023-03-08,Winter,3,0.4,2.9,79.6,20.3,22.4,18.1,62.0,21.2,SW,1015.4,25.7,3.2,High,No,WS_1984,Local Station
Tezpur Rural,Assam,2023-03-08,Winter,3,0.4,3.1,65.9,21.3,23.5,18.4,65.5,7.0,SE,1017.4,23.7,4.1,Low,Mild,WS_4204,IMD
Roing Village,Arunachal Pradesh,2023-03-08,Winter,3,7.9,45.2,16.3,22.8,25.8,18.0,65.3,15.6,SW,1002.7,26.4,4.0,Medium,Mild,WS_6732,IMD
Khowai Village,Tripura,2023-03-08,Winter,3,1.3,9.0,78.9,22.0,29.3,16.2,64.9,18.6,W,1003.3,26.2,5.5,Medium,No,WS_1648,Local Station
Jowai Rural,Meghalaya,2023-03-08,Winter,3,0.4,3.3,14.0,12.4,19.5,8.6,70.9,14.4,SW,1000.3,19.1,8.8,Low,Mild,WS_8880,IMD
Belonia Rural,Tripura,2023-03-08,Winter,3,2.3,14.3,69.2,20.3,27.0,14.6,71.6,8.5,S,1014.0,21.0,11.3,Medium,Mild,WS_4397,Local Station
Jiribam Village,Manipur,2023-03-09,Winter,3,2.0,15.3,20.2,22.6,28.7,18.7,65.1,19.7,N,1008.4,15.1,11.2,Medium,Moderate,WS_3176,Local Station
Imphal Rural,Manipur,2023-03-09,Winter,3,6.2,40.8,79.6,24.7,28.5,18.9,59.1,3.5,S,1009.9,29.7,5.7,Low,No,WS_7898,Local Station
Pakyong Village,Sikkim,2023-03-09,Winter,3,3.5,21.0,55.6,24.3,29.2,18.9,51.0,11.4,W,1013.5,22.2,11.3,Low,No,WS_2742,IMD
Tawang Rural,Arunachal Pradesh,2023-03-09,Winter,3,1.5,10.5,54.9,22.2,29.5,19.4,51.8,15.8,NE,1011.5,19.0,12.0,Low,Severe,WS_4930,IMD
Mangan Village,Sikkim,2023-03-09,Winter,3,3.3,23.4,66.8,17.5,19.9,15.0,66.1,12.9,SE,1004.9,24.2,7.3,Low,No,WS_2226,IMD
Zunheboto Village,Nagaland,2023-03-09,Winter,3,3.1,23.7,75.9,18.1,23.5,14.4,58.5,2.5,N,1007.1,24.4,10.0,Low,Severe,WS_4926,Satellite
Amarpur Village,Tripura,2023-03-09,Winter,3,0.3,2.1,55.4,18.2,21.5,15.3,64.0,13.0,N,1009.6,21.5,11.0,Low,Mild,WS_3649,IMD
Bomdila Rural,Arunachal Pradesh,2023-03-10,Winter,3,0.7,4.7,55.8,21.1,27.9,17.6,60.9,2.6,N,1014.3,19.8,10.8,Low,No,WS_1840,Local Station
Silchar Village,Assam,2023-03-10,Winter,3,1.1,7.5,38.7,22.7,29.5,18.2,64.1,24.5,SW,1015.7,27.4,9.8,Low,Mild,WS_9664,Local Station
Resubelpara Rural,Meghalaya,2023-03-10,Winter,3,0.6,4.1,51.6,24.4,31.3,21.4,73.1,14.9,S,1005.0,20.8,9.4,Low,No,WS_6570,Local Station
Bomdila Rural,Arunachal Pradesh,2023-03-10,Winter,3,3.8,28.6,57.8,20.9,26.4,17.3,60.8,9.3,S,1008.4,25.5,11.8,Medium,No,WS_8610,IMD
Itanagar Rural,Arunachal Pradesh,2023-03-10,Winter,3,5.5,39.8,61.5,22.5,29.2,17.2,54.1,20.4,NE,1005.8,23.9,7.2,High,No,WS_5800,Local Station
Bishnupur Rural,Manipur,2023-03-10,Winter,3,1.4,10.0,43.8,24.8,27.6,21.0,63.9,22.1,SW,1001.8,28.5,7.6,Medium,No,WS_5824,IMD
Tuensang Village,Nagaland,2023-03-10,Winter,3,1.6,10.9,77.7,20.6,28.3,15.1,51.0,18.5,SE,1014.6,23.1,5.8,High,No,WS_1117,Satellite
Bishnupur Rural,Manipur,2023-03-11,Winter,3,8.6,50.8,28.5,22.4,28.1,18.4,71.2,2.0,SE,1008.2,19.7,10.4,Low,No,WS_4516,Local Station
Agartala Rural,Tripura,2023-03-11,Winter,3,0.1,0.7,16.3,23.9,26.7,19.9,55.5,18.2,W,1004.7,29.9,3.8,Medium,No,WS_2148,Local Station
Baghmara Rural,Meghalaya,2023-03-11,Winter,3,1.3,10.1,49.3,17.0,20.4,14.5,66.2,24.5,NE,1014.6,22.7,8.1,Low,No,WS_2461,IMD
Ukhrul Village,Manipur,2023-03-11,Winter,3,2.4,18.5,65.2,19.6,27.3,17.5,59.1,7.0,NW,1000.8,21.0,9.7,Low,Mild,WS_3602,Local Station
Rangpo Rural,Sikkim,2023-03-11,Winter,3,1.0,7.7,58.9,17.3,24.1,14.6,56.5,8.9,N,1004.4,15.2,8.9,Low,Moderate,WS_2401,Local Station
Jiribam Village,Manipur,2023-03-11,Winter,3,7.0,40.9,22.2,22.3,27.4,18.7,70.1,19.2,S,1011.9,16.8,6.7,Low,No,WS_9119,IMD
Tezpur Rural,Assam,2023-03-11,Winter,3,2.4,18.6,45.6,16.9,21.0,13.2,51.1,24.7,W,1010.2,15.8,2.5,Low,Mild,WS_3540,IMD
Champhai Rural,Mizoram,2023-03-12,Winter,3,2.2,16.1,44.1,13.1,17.7,10.5,71.8,13.4,W,1010.1,18.2,4.0,Medium,No,WS_6470,Satellite
Wokha Rural,Nagaland,2023-03-12,Winter,3,1.0,6.9,66.4,15.3,19.8,11.5,70.4,14.2,SE,1016.1,24.2,9.6,Low,No,WS_3819,Satellite
Jowai Rural,Meghalaya,2023-03-12,Winter,3,1.1,6.9,15.8,16.8,23.8,12.5,70.6,17.4,E,1002.6,22.0,11.3,Low,No,WS_5779,IMD
Serchhip Village,Mizoram,2023-03-12,Winter,3,0.4,2.3,51.4,12.5,15.2,7.3,60.7,12.2,N,1015.5,18.6,6.6,Low,No,WS_2357,Satellite
Naharlagun Village,Arunachal Pradesh,2023-03-12,Winter,3,1.3,10.8,78.9,21.8,28.2,17.0,59.4,14.8,SW,1007.9,23.3,8.5,Low,No,WS_4690,Satellite
Champhai Rural,Mizoram,2023-03-12,Winter,3,0.0,0.0,47.4,12.1,17.7,8.3,66.0,16.4,E,1004.4,21.5,9.7,Low,No,WS_6377,IMD
Agartala Rural,Tripura,2023-03-12,Winter,3,2.4,14.0,70.1,21.9,24.6,17.1,60.4,6.1,S,1007.9,25.1,5.7,Medium,Moderate,WS_2297,IMD
Gyalshing Rural,Sikkim,2023-03-13,Winter,3,4.6,32.3,41.5,20.5,24.6,15.0,68.9,22.7,W,1019.2,26.5,4.4,Medium,No,WS_4831,IMD
Udaipur Village,Tripura,2023-03-13,Winter,3,0.0,0.0,54.8,22.5,29.6,17.6,68.7,20.5,N,1018.5,18.4,2.5,Low,No,WS_4632,IMD
Rangpo Rural,Sikkim,2023-03-13,Winter,3,2.4,15.4,50.4,23.0,25.5,20.2,72.6,12.4,NW,1011.7,25.9,6.0,Medium,No,WS_3482,Satellite
Hnahthial Village,Mizoram,2023-03-13,Winter,3,3.7,29.1,12.8,19.5,24.6,15.5,67.5,21.1,SE,1016.1,19.1,9.0,Low,Mild,WS_8863,Local Station
Roing Village,Arunachal Pradesh,2023-03-13,Winter,3,0.2,1.7,69.1,17.5,21.2,12.3,69.5,5.8,E,1019.4,16.3,10.8,Low,Mild,WS_8889,Local Station
Lunglei Village,Mizoram,2023-03-13,Winter,3,0.2,1.6,37.6,12.3,14.5,7.0,57.1,19.1,NE,1006.1,15.5,9.7,Low,No,WS_9196,Satellite
Pasighat Rural,Arunachal Pradesh,2023-03-13,Winter,3,0.2,1.5,63.5,24.3,31.8,21.4,73.7,8.4,W,1004.6,21.2,11.4,Low,Mild,WS_5193,Satellite
Dharmanagar Rural,Tripura,2023-03-14,Winter,3,11.6,65.7,33.2,17.3,25.2,11.6,67.0,18.7,SE,1007.6,27.7,3.3,Low,No,WS_3734,IMD
Ziro Village,Arunachal Pradesh,2023-03-14,Winter,3,1.7,13.1,46.8,23.8,31.7,21.7,64.0,2.7,E,1003.5,29.4,2.4,Medium,No,WS_1135,Local Station
Phek Rural,Nagaland,2023-03-14,Winter,3,7.2,57.4,62.0,16.2,21.6,13.0,59.8,17.8,NW,1000.6,26.0,4.6,Low,No,WS_1087,Satellite
Naharlagun Village,Arunachal Pradesh,2023-03-14,Winter,3,8.1,55.7,68.1,22.1,24.3,19.2,63.9,3.3,SW,1016.1,15.8,11.7,Low,No,WS_1277,IMD
Amarpur Village,Tripura,2023-03-14,Winter,3,0.4,3.1,53.3,12.9,19.3,9.6,58.9,17.5,NW,1006.2,20.2,9.7,Low,No,WS_5519,Local Station
Silchar Village,Assam,2023-03-14,Winter,3,0.1,0.8,26.0,15.4,19.2,10.7,59.8,17.2,NW,1011.3,25.6,8.6,Medium,No,WS_6162,Local Station
Churachandpur Village,Manipur,2023-03-14,Winter,3,3.7,24.2,19.0,16.0,19.4,12.2,52.6,8.4,W,1011.9,21.4,5.0,Medium,No,WS_5937,Local Station
Khowai Village,Tripura,2023-03-15,Winter,3,0.6,5.0,71.1,19.4,23.1,17.0,54.5,18.7,W,1001.3,28.4,7.5,Low,Mild,WS_2779,Satellite
Agartala Rural,Tripura,2023-03-15,Winter,3,0.7,4.1,28.5,19.1,24.3,16.4,50.3,19.8,S,1015.8,28.1,10.2,Low,No,WS_3908,Local Station
Naharlagun Village,Arunachal Pradesh,2023-03-15,Winter,3,8.1,45.5,37.0,24.2,30.4,18.6,64.7,23.5,N,1004.2,20.6,5.8,Low,No,WS_4028,IMD
Champhai Rural,Mizoram,2023-03-15,Winter,3,0.8,6.6,41.9,23.6,25.7,18.2,52.6,19.4,SW,1011.5,25.3,10.9,Low,No,WS_7989,Satellite
Mangan Village,Sikkim,2023-03-15,Winter,3,1.0,6.6,67.0,23.0,29.5,18.5,55.2,24.6,S,1015.7,21.7,6.5,Low,Moderate,WS_3862,Satellite
Silchar Village,Assam,2023-03-15,Winter,3,1.3,7.3,27.6,15.3,23.2,13.0,59.1,9.9,W,1005.6,19.8,3.4,Low,No,WS_9841,Local Station
Phek Rural,Nagaland,2023-03-15,Winter,3,1.1,9.2,20.6,22.9,25.0,20.1,57.2,12.9,S,1007.2,28.0,3.4,Low,Mild,WS_2339,Satellite
Williamnagar Village,Meghalaya,2023-03-16,Winter,3,2.2,15.6,43.3,19.6,26.5,15.6,58.2,22.4,S,1016.2,21.1,9.6,Low,No,WS_5661,Satellite
Pasighat Rural,Arunachal Pradesh,2023-03-16,Winter,3,6.0,35.6,48.3,14.4,20.7,11.3,50.5,10.1,N,1015.4,18.8,4.9,High,Mild,WS_9485,Satellite
Pasighat Rural,Arunachal Pradesh,2023-03-16,Winter,3,1.0,5.8,38.5,15.5,22.0,12.3,50.4,18.5,E,1005.6,22.2,3.7,Low,No,WS_9789,IMD
Wokha Rural,Nagaland,2023-03-16,Winter,3,4.2,24.7,46.0,22.5,26.6,20.4,56.4,17.7,NW,1017.8,24.3,9.0,Medium,Severe,WS_8126,Satellite
Roing Village,Arunachal Pradesh,2023-03-16,Winter,3,2.0,13.0,12.1,18.1,21.4,15.5,74.4,23.4,NE,1007.7,23.6,10.5,Medium,Mild,WS_7798,Local Station
