village,state,date,outbreak,outbreak_type,risk_level,risk_score,total_diarrhea_cases,total_fever_cases,total_vomiting_cases,total_affected_population,water_contaminated,flooding_occurred,high_rainfall_event,outbreak_duration_days,cases_hospitalized,cases_recovered,intervention_needed,alert_level,reported_by,verification_status
Singtam Village,Sikkim,2023-03-05,0,None,Medium,21.0,6,6,0,29,0,0,0,0,0,0,0,Red,ASHA Worker,Verified
Belonia Rural,Tripura,2023-03-05,0,None,Low,10.2,3,2,1,8,0,0,0,0,0,0,0,Yellow,District Health Office,Verified
Pasighat Rural,Arunachal Pradesh,2023-03-06,0,None,High,30.4,5,2,2,17,1,0,0,0,0,0,1,Yellow,ASHA Worker,Under Investigation
Kolasib Rural,Mizoram,2023-03-06,0,None,Low,9.2,4,0,1,11,0,0,0,0,0,0,0,Yellow,District Health Office,Verified
Namchi Village,Sikkim,2023-03-06,0,None,Medium,25.5,3,3,0,12,1,0,0,0,0,0,1,Yellow,District Health Office,Verified
Senapati Rural,Manipur,2023-03-06,0,None,Low,1.2,0,0,1,1,0,0,0,0,0,0,0,Orange,District Health Office,Pending
Rangpo Rural,Sikkim,2023-03-06,0,None,Medium,15.4,5,2,2,19,0,0,0,0,0,0,0,Yellow,Community Leader,Verified
Jorhat Village,Assam,2023-03-06,0,None,Low,14.5,5,3,0,19,0,0,0,0,0,0,0,Yellow,Clinic,Verified
Guwahati Rural,Assam,2023-03-06,0,None,High,38.0,5,2,0,8,1,0,1,0,0,0,1,Green,ASHA Worker,Verified
Tura Village,Meghalaya,2023-03-07,0,None,Low,12.6,3,2,3,17,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Silchar Village,Assam,2023-03-07,0,None,High,33.5,2,3,0,12,1,0,1,0,0,0,1,Yellow,District Health Office,Pending
Nagaon Rural,Assam,2023-03-07,0,None,Low,3.0,0,2,0,3,0,0,0,0,0,0,0,Green,District Health Office,Verified
Lunglei Village,Mizoram,2023-03-07,0,None,High,32.3,4,3,4,18,1,0,0,0,0,0,1,Green,Clinic,Verified
Rangpo Rural,Sikkim,2023-03-07,0,None,High,31.4,5,6,2,20,0,0,1,0,0,0,1,Orange,Clinic,Verified
Dimapur Village,Nagaland,2023-03-07,0,None,Medium,29.4,3,4,2,18,1,0,0,0,0,0,1,Yellow,Clinic,Under Investigation
Gyalshing Rural,Sikkim,2023-03-07,0,None,Low,7.9,2,1,2,8,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Itanagar Rural,Arunachal Pradesh,2023-03-08,0,None,Medium,18.4,3,0,2,7,0,0,1,0,0,0,0,Yellow,ASHA Worker,Under Investigation
Jorhat Village,Assam,2023-03-08,0,None,Medium,16.1,4,3,3,13,0,0,0,0,0,0,0,Orange,Clinic,Verified
Amarpur Village,Tripura,2023-03-08,0,None,High,42.4,1,2,2,11,1,1,0,0,0,0,1,Green,ASHA Worker,Under Investigation
Jowai Rural,Meghalaya,2023-03-08,0,None,Low,14.9,4,3,2,11,0,0,0,0,0,0,0,Orange,District Health Office,Verified
Jorhat Village,Assam,2023-03-08,0,None,Medium,28.2,2,2,1,11,0,1,0,0,0,0,1,Green,ASHA Worker,Verified
Agartala Rural,Tripura,2023-03-08,0,None,Medium,16.9,0,3,2,12,0,0,1,0,0,0,0,Orange,District Health Office,Verified
Namchi Village,Sikkim,2023-03-08,0,None,Medium,19.7,2,3,1,13,0,0,1,0,0,0,0,Yellow,ASHA Worker,Verified
Aizawl Rural,Mizoram,2023-03-09,0,None,Low,13.7,4,3,1,13,0,0,0,0,0,0,0,Green,ASHA Worker,Under Investigation
Roing Village,Arunachal Pradesh,2023-03-09,0,None,Medium,21.3,6,3,4,24,0,0,0,0,0,0,0,Red,ASHA Worker,Verified
Nongpoh Village,Meghalaya,2023-03-09,0,None,Medium,29.7,1,1,1,5,1,0,1,0,0,0,1,Green,Clinic,Verified
Karimganj Village,Assam,2023-03-09,0,None,Medium,19.6,5,4,3,16,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Lawngtlai Village,Mizoram,2023-03-09,0,None,Medium,29.4,2,2,2,7,0,1,0,0,0,0,1,Orange,ASHA Worker,Verified
Shillong Rural,Meghalaya,2023-03-09,0,None,High,44.7,3,5,1,13,0,1,1,0,0,0,1,Orange,ASHA Worker,Under Investigation
Zunheboto Village,Nagaland,2023-03-09,0,None,High,40.3,3,3,4,20,1,0,1,0,0,0,1,Yellow,ASHA Worker,Verified
Kiphire Village,Nagaland,2023-03-10,0,None,Critical,57.2,4,2,1,12,1,1,1,0,0,0,1,Yellow,ASHA Worker,Verified
Tuensang Village,Nagaland,2023-03-10,0,None,Low,10.0,2,4,0,7,0,0,0,0,0,0,0,Green,ASHA Worker,Under Investigation
Pasighat Rural,Arunachal Pradesh,2023-03-10,0,None,Low,9.8,1,2,4,12,0,0,0,0,0,0,0,Green,Clinic,Pending
Nongpoh Village,Meghalaya,2023-03-10,0,None,Medium,21.6,6,4,3,19,0,0,0,0,0,0,0,Green,District Health Office,Verified
Guwahati Rural,Assam,2023-03-10,0,None,Medium,29.4,3,4,2,14,1,0,0,0,0,0,1,Green,District Health Office,Verified
Pasighat Rural,Arunachal Pradesh,2023-03-10,0,None,Medium,22.7,1,3,1,11,1,0,0,0,0,0,0,Green,Community Leader,Verified
Khowai Village,Tripura,2023-03-10,0,None,Low,6.7,2,1,1,8,0,0,0,0,0,0,0,Green,Clinic,Pending
Rangpo Rural,Sikkim,2023-03-11,0,None,Low,12.0,6,0,0,14,0,0,0,0,0,0,0,Green,Community Leader,Under Investigation
Bomdila Rural,Arunachal Pradesh,2023-03-11,0,None,Medium,24.9,4,3,2,12,0,0,1,0,0,0,0,Yellow,Clinic,Verified
Gangtok Rural,Sikkim,2023-03-11,0,None,Low,8.0,1,4,0,11,0,0,0,0,0,0,0,Green,ASHA Worker,Under Investigation
Lunglei Village,Mizoram,2023-03-11,0,None,Medium,17.2,5,4,1,16,0,0,0,0,0,0,0,Orange,Clinic,Verified
Barpeta Village,Assam,2023-03-11,0,None,Low,11.3,1,3,4,18,0,0,0,0,0,0,0,Green,District Health Office,Verified
Serchhip Village,Mizoram,2023-03-11,0,None,Low,7.2,3,0,1,5,0,0,0,0,0,0,0,Yellow,ASHA Worker,Under Investigation
Pasighat Rural,Arunachal Pradesh,2023-03-11,0,None,Low,11.2,2,4,1,15,0,0,0,0,0,0,0,Red,ASHA Worker,Verified
Jorethang Rural,Sikkim,2023-03-12,0,None,High,32.5,4,3,0,9,0,1,0,0,0,0,1,Green,District Health Office,Verified
Tawang Rural,Arunachal Pradesh,2023-03-12,0,None,Medium,17.7,1,3,1,12,0,0,1,0,0,0,0,Green,District Health Office,Under Investigation
Pasighat Rural,Arunachal Pradesh,2023-03-12,0,None,Medium,28.9,5,1,2,14,1,0,0,0,0,0,1,Red,Clinic,Pending
Williamnagar Village,Meghalaya,2023-03-12,0,None,Low,8.7,3,1,1,10,0,0,0,0,0,0,0,Orange,District Health Office,Verified
Nongpoh Village,Meghalaya,2023-03-12,0,None,Low,2.4,0,0,2,3,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Jiribam Village,Manipur,2023-03-12,0,None,Medium,26.0,4,2,0,7,1,0,0,0,0,0,1,Yellow,ASHA Worker,Verified
Guwahati Rural,Assam,2023-03-12,0,None,Medium,20.0,5,0,0,8,0,0,1,0,0,0,0,Yellow,ASHA Worker,Verified
Dibrugarh Rural,Assam,2023-03-13,0,None,Low,7.8,0,2,4,14,0,0,0,0,0,0,0,Orange,ASHA Worker,Verified
Tawang Rural,Arunachal Pradesh,2023-03-13,0,None,High,34.6,1,6,3,22,0,1,0,0,0,0,1,Orange,ASHA Worker,Verified
Naharlagun Village,Arunachal Pradesh,2023-03-13,0,None,Low,6.4,2,0,2,8,0,0,0,0,0,0,0,Green,Clinic,Verified
Zunheboto Village,Nagaland,2023-03-13,0,None,Medium,16.4,4,4,2,14,0,0,0,0,0,0,0,Green,District Health Office,Verified
Jorhat Village,Assam,2023-03-13,1,Weather-related,Medium,25.5,7,1,0,16,0,0,1,16,1,6,1,Green,District Health Office,Verified
Shillong Rural,Meghalaya,2023-03-13,0,None,Low,11.5,5,1,0,14,0,0,0,0,0,0,0,Yellow,Clinic,Under Investigation
Pakyong Village,Sikkim,2023-03-13,0,None,Medium,18.8,4,4,4,15,0,0,0,0,0,0,0,Green,District Health Office,Verified
Namchi Village,Sikkim,2023-03-14,0,None,High,31.1,5,5,3,19,0,0,1,0,0,0,1,Yellow,ASHA Worker,Verified
Kohima Rural,Nagaland,2023-03-14,0,None,Low,8.5,2,3,0,10,0,0,0,0,0,0,0,Orange,District Health Office,Verified
Dibrugarh Rural,Assam,2023-03-14,0,None,Low,4.0,2,0,0,4,0,0,0,0,0,0,0,Orange,ASHA Worker,Pending
Lunglei Village,Mizoram,2023-03-14,0,None,Low,6.7,2,1,1,7,0,0,0,0,0,0,0,Yellow,ASHA Worker,Under Investigation
Kohima Rural,Nagaland,2023-03-14,0,None,Medium,25.2,3,2,1,11,1,0,0,0,0,0,1,Yellow,District Health Office,Under Investigation
Kailashahar Village,Tripura,2023-03-14,0,None,Low,11.2,2,4,1,14,0,0,0,0,0,0,0,Green,District Health Office,Verified
Williamnagar Village,Meghalaya,2023-03-14,0,None,Low,7.1,1,1,3,6,0,0,0,0,0,0,0,Yellow,Clinic,Pending
Imphal Rural,Manipur,2023-03-15,0,None,Medium,19.4,4,6,2,25,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Kohima Rural,Nagaland,2023-03-15,0,None,Medium,24.1,2,1,3,11,1,0,0,0,0,0,0,Orange,ASHA Worker,Verified
Kiphire Village,Nagaland,2023-03-15,0,None,Low,10.5,3,3,0,12,0,0,0,0,0,0,0,Red,Clinic,Verified
Roing Village,Arunachal Pradesh,2023-03-15,0,None,Low,14.1,3,3,3,13,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Lunglei Village,Mizoram,2023-03-15,0,None,Low,12.2,4,2,1,10,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Hnahthial Village,Mizoram,2023-03-15,0,None,Low,4.7,1,1,1,5,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Namchi Village,Sikkim,2023-03-15,1,Water-borne,High,31.8,6,0,4,17,1,0,0,18,1,5,1,Red,ASHA Worker,Verified
Tawang Rural,Arunachal Pradesh,2023-03-16,0,None,Low,13.2,3,4,1,16,0,0,0,0,0,0,0,Red,Community Leader,Under Investigation
Dimapur Village,Nagaland,2023-03-16,0,None,High,34.4,2,2,2,8,1,0,1,0,0,0,1,Yellow,District Health Office,Under Investigation
Tawang Rural,Arunachal Pradesh,2023-03-16,0,None,Medium,27.9,3,3,2,15,1,0,0,0,0,0,1,Yellow,ASHA Worker,Verified
Jowai Rural,Meghalaya,2023-03-16,0,None,Medium,28.7,2,9,1,15,0,0,1,0,0,0,1,Red,Clinic,Verified
Hnahthial Village,Mizoram,2023-03-16,0,None,Low,13.9,5,1,2,19,0,0,0,0,0,0,0,Orange,District Health Office,Verified
Kohima Rural,Nagaland,2023-03-16,0,None,Low,11.7,3,3,1,11,0,0,0,0,0,0,0,Yellow,Clinic,Verified
Pakyong Village,Sikkim,2023-03-16,0,None,Low,13.6,2,4,3,13,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Tuensang Village,Nagaland,2023-03-17,0,None,Low,14.7,1,1,1,4,0,0,1,0,0,0,0,Green,ASHA Worker,Verified
Champhai Rural,Mizoram,2023-03-17,0,None,Low,7.4,1,2,2,8,0,0,0,0,0,0,0,Green,Clinic,Verified
Teliamura Rural,Tripura,2023-03-17,0,None,Medium,18.7,3,1,1,9,0,0,1,0,0,0,0,Red,Community Leader,Verified
Churachandpur Village,Manipur,2023-03-17,0,None,Low,8.7,3,1,1,7,0,0,0,0,0,0,0,Green,District Health Office,Under Investigation
Dimapur Village,Nagaland,2023-03-17,0,None,Low,13.4,4,2,2,15,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Gangtok Rural,Sikkim,2023-03-17,0,None,Low,6.5,1,3,0,9,0,0,0,0,0,0,0,Red,ASHA Worker,Verified
Baghmara Rural,Meghalaya,2023-03-17,0,None,Medium,16.9,5,3,2,21,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Tamenglong Rural,Manipur,2023-03-18,0,None,Low,12.7,2,5,1,17,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Imphal Rural,Manipur,2023-03-18,0,None,Medium,15.2,1,4,6,15,0,0,0,0,0,0,0,Orange,Clinic,Under Investigation
Hnahthial Village,Mizoram,2023-03-18,1,Water-borne,Critical,60.7,5,3,1,19,1,1,1,5,0,4,1,Orange,District Health Office,Verified
Karimganj Village,Assam,2023-03-18,0,None,Low,8.6,1,2,3,12,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Thoubal Village,Manipur,2023-03-18,0,None,Medium,29.9,5,5,2,24,0,0,1,0,0,0,1,Green,ASHA Worker,Under Investigation
Resubelpara Rural,Meghalaya,2023-03-18,0,None,Medium,22.4,7,4,2,18,0,0,0,0,0,0,0,Orange,ASHA Worker,Pending
Tezpur Rural,Assam,2023-03-18,0,None,Medium,29.9,3,1,2,10,0,1,0,0,0,0,1,Orange,District Health Office,Verified
Dibrugarh Rural,Assam,2023-03-19,0,None,High,31.4,3,2,2,16,0,1,0,0,0,0,1,Green,ASHA Worker,Verified
Tura Village,Meghalaya,2023-03-19,0,None,Low,2.7,0,1,1,3,0,0,0,0,0,0,0,Green,Community Leader,Verified
Lawngtlai Village,Mizoram,2023-03-19,0,None,Low,7.7,1,3,1,6,0,0,0,0,0,0,0,Orange,Clinic,Verified
Gyalshing Rural,Sikkim,2023-03-19,0,None,Low,5.1,0,1,3,5,0,0,0,0,0,0,0,Green,ASHA Worker,Pending
Tura Village,Meghalaya,2023-03-19,0,None,Low,11.6,1,4,3,18,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Gangtok Rural,Sikkim,2023-03-19,0,None,Low,13.7,4,3,1,17,0,0,0,0,0,0,0,Red,Clinic,Verified
Kohima Rural,Nagaland,2023-03-19,0,None,Medium,18.0,4,0,0,5,0,0,1,0,0,0,0,Orange,ASHA Worker,Verified
Resubelpara Rural,Meghalaya,2023-03-20,0,None,High,33.1,4,1,3,15,0,1,0,0,0,0,1,Yellow,ASHA Worker,Under Investigation
Wokha Rural,Nagaland,2023-03-20,0,None,Medium,25.2,3,2,1,14,1,0,0,0,0,0,1,Red,ASHA Worker,Verified
Bishnupur Rural,Manipur,2023-03-20,0,None,High,41.5,3,3,5,21,1,0,1,0,0,0,1,Green,Clinic,Under Investigation
Khliehriat Village,Meghalaya,2023-03-20,0,None,Low,12.6,3,2,3,11,0,0,0,0,0,0,0,Green,Community Leader,Verified
Kailashahar Village,Tripura,2023-03-20,0,None,Medium,25.7,4,1,1,7,1,0,0,0,0,0,1,Red,ASHA Worker,Verified
Singtam Village,Sikkim,2023-03-20,0,None,High,36.7,3,3,1,15,1,0,1,0,0,0,1,Yellow,Community Leader,Verified
Gangtok Rural,Sikkim,2023-03-20,0,None,Low,3.2,1,0,1,3,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Imphal Rural,Manipur,2023-03-21,0,None,Medium,22.4,2,4,2,11,0,0,1,0,0,0,0,Green,ASHA Worker,Verified
Dibrugarh Rural,Assam,2023-03-21,0,None,Medium,15.3,3,3,4,23,0,0,0,0,0,0,0,Yellow,District Health Office,Verified
Nagaon Rural,Assam,2023-03-21,0,None,Low,14.9,4,3,2,16,0,0,0,0,0,0,0,Orange,ASHA Worker,Under Investigation
Singtam Village,Sikkim,2023-03-21,0,None,Low,8.2,2,2,1,12,0,0,0,0,0,0,0,Orange,District Health Office,Verified
Namchi Village,Sikkim,2023-03-21,0,None,Medium,23.0,1,4,0,8,1,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Churachandpur Village,Manipur,2023-03-21,0,None,Medium,28.3,2,3,4,17,1,0,0,0,0,0,1,Green,ASHA Worker,Verified
Naharlagun Village,Arunachal Pradesh,2023-03-21,0,None,Low,14.1,3,3,3,17,0,0,0,0,0,0,0,Orange,ASHA Worker,Verified
Phek Rural,Nagaland,2023-03-22,0,None,High,48.9,2,5,2,14,1,1,0,0,0,0,1,Orange,ASHA Worker,Verified
Tura Village,Meghalaya,2023-03-22,0,None,Low,9.9,3,1,2,11,0,0,0,0,0,0,0,Orange,Clinic,Under Investigation
Jiribam Village,Manipur,2023-03-22,0,None,High,44.1,2,1,3,13,1,1,0,0,0,0,1,Orange,ASHA Worker,Verified
Mokokchung Rural,Nagaland,2023-03-22,0,None,Low,5.9,1,1,2,9,0,0,0,0,0,0,0,Yellow,Clinic,Under Investigation
Pasighat Rural,Arunachal Pradesh,2023-03-22,0,None,Medium,23.2,2,2,1,11,1,0,0,0,0,0,0,Red,District Health Office,Under Investigation
Rangpo Rural,Sikkim,2023-03-22,0,None,Medium,25.0,3,2,5,20,0,0,1,0,0,0,1,Green,ASHA Worker,Verified
Gangtok Rural,Sikkim,2023-03-22,0,None,Low,11.9,4,1,2,15,0,0,0,0,0,0,0,Yellow,Clinic,Under Investigation
Kohima Rural,Nagaland,2023-03-23,0,None,Low,10.6,2,2,3,13,0,0,0,0,0,0,0,Green,Clinic,Verified
Kailashahar Village,Tripura,2023-03-23,0,None,Low,10.2,3,2,1,12,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Baghmara Rural,Meghalaya,2023-03-23,0,None,Medium,19.7,1,1,1,3,1,0,0,0,0,0,0,Red,ASHA Worker,Under Investigation
Resubelpara Rural,Meghalaya,2023-03-23,0,None,Low,4.4,1,0,2,7,0,0,0,0,0,0,0,Green,District Health Office,Pending
Williamnagar Village,Meghalaya,2023-03-23,0,None,Medium,22.8,6,4,4,25,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Itanagar Rural,Arunachal Pradesh,2023-03-23,0,None,Low,14.4,3,4,2,21,0,0,0,0,0,0,0,Orange,ASHA Worker,Verified
Mangan Village,Sikkim,2023-03-23,0,None,High,31.9,5,3,2,20,1,0,0,0,0,0,1,Yellow,Clinic,Verified
Jiribam Village,Manipur,2023-03-24,0,None,Low,6.7,2,1,1,8,0,0,0,0,0,0,0,Yellow,Community Leader,Pending
Tuensang Village,Nagaland,2023-03-24,0,None,Low,12.6,3,2,3,15,0,0,0,0,0,0,0,Green,Clinic,Verified
Teliamura Rural,Tripura,2023-03-24,0,None,High,30.9,3,5,2,18,1,0,0,0,0,0,1,Red,Community Leader,Verified
Udaipur Village,Tripura,2023-03-24,0,None,Medium,17.0,2,2,0,9,0,0,1,0,0,0,0,Green,Community Leader,Verified
Rangpo Rural,Sikkim,2023-03-24,0,None,Low,12.0,3,4,0,12,0,0,0,0,0,0,0,Green,Clinic,Verified
Senapati Rural,Manipur,2023-03-24,0,None,Medium,15.0,1,2,0,5,0,0,1,0,0,0,0,Orange,ASHA Worker,Pending
Nagaon Rural,Assam,2023-03-24,0,None,Low,12.9,3,3,2,13,0,0,0,0,0,0,0,Green,Community Leader,Under Investigation
Phek Rural,Nagaland,2023-03-25,0,None,Medium,18.2,7,2,1,20,0,0,0,0,0,0,0,Orange,Clinic,Verified
Tezpur Village,Arunachal Pradesh,2023-03-25,0,None,Medium,17.4,6,2,2,21,0,0,0,0,0,0,0,Yellow,Clinic,Under Investigation
Phek Rural,Nagaland,2023-03-25,0,None,Low,10.7,4,1,1,14,0,0,0,0,0,0,0,Yellow,ASHA Worker,Under Investigation
Dibrugarh Rural,Assam,2023-03-25,0,None,Medium,26.4,4,4,2,15,0,0,1,0,0,0,1,Green,ASHA Worker,Under Investigation
Jorethang Rural,Sikkim,2023-03-25,0,None,Medium,18.6,3,6,3,24,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Thoubal Village,Manipur,2023-03-25,1,Water-borne,High,35.0,7,4,0,27,1,0,0,2,1,5,1,Red,Clinic,Verified
Gangtok Rural,Sikkim,2023-03-25,0,None,Medium,21.8,2,2,4,19,0,0,1,0,0,0,0,Red,Clinic,Verified
Ukhrul Village,Manipur,2023-03-26,0,None,Low,11.0,4,2,0,9,0,0,0,0,0,0,0,Orange,District Health Office,Verified
Resubelpara Rural,Meghalaya,2023-03-26,0,None,High,34.0,4,4,0,10,0,1,0,0,0,0,1,Orange,District Health Office,Verified
Bishnupur Rural,Manipur,2023-03-26,0,None,Low,14.3,1,5,4,14,0,0,0,0,0,0,0,Orange,ASHA Worker,Under Investigation
Kailashahar Village,Tripura,2023-03-26,0,None,Low,14.2,5,2,1,19,0,0,0,0,0,0,0,Orange,ASHA Worker,Pending
Bomdila Rural,Arunachal Pradesh,2023-03-26,0,None,Medium,24.7,2,3,1,7,1,0,0,0,0,0,0,Yellow,District Health Office,Under Investigation
Imphal Rural,Manipur,2023-03-26,0,None,Low,11.2,2,4,1,12,0,0,0,0,0,0,0,Green,ASHA Worker,Under Investigation
Kolasib Rural,Mizoram,2023-03-26,0,None,Low,2.0,1,0,0,1,0,0,0,0,0,0,0,Yellow,Clinic,Under Investigation
Tezpur Village,Arunachal Pradesh,2023-03-27,0,None,Medium,27.5,3,1,0,6,0,1,0,0,0,0,1,Yellow,District Health Office,Verified
Nagaon Rural,Assam,2023-03-27,0,None,Medium,16.0,5,4,0,14,0,0,0,0,0,0,0,Orange,ASHA Worker,Verified
Senapati Rural,Manipur,2023-03-27,0,None,Medium,20.4,4,0,2,10,0,0,1,0,0,0,0,Orange,ASHA Worker,Under Investigation
Roing Village,Arunachal Pradesh,2023-03-27,0,None,Medium,16.1,4,3,3,15,0,0,0,0,0,0,0,Green,ASHA Worker,Verified
Jiribam Village,Manipur,2023-03-27,0,None,Medium,18.1,5,3,3,24,0,0,0,0,0,0,0,Yellow,Clinic,Under Investigation
Resubelpara Rural,Meghalaya,2023-03-27,0,None,Medium,24.2,1,4,1,14,1,0,0,0,0,0,0,Green,Community Leader,Verified
Jorhat Village,Assam,2023-03-27,0,None,Low,7.7,1,3,1,9,0,0,0,0,0,0,0,Orange,ASHA Worker,Verified
Baghmara Rural,Meghalaya,2023-03-28,0,None,Medium,19.5,0,3,0,4,1,0,0,0,0,0,0,Orange,Clinic,Verified
Nongpoh Village,Meghalaya,2023-03-28,0,None,High,37.7,2,5,1,9,1,0,1,0,0,0,1,Yellow,Clinic,Verified
Nongpoh Village,Meghalaya,2023-03-28,0,None,Low,7.4,1,2,2,6,0,0,0,0,0,0,0,Orange,Clinic,Verified
Dharmanagar Rural,Tripura,2023-03-28,0,None,High,34.6,5,4,3,29,1,0,0,0,0,0,1,Red,District Health Office,Verified
Saitual Rural,Mizoram,2023-03-28,0,None,High,31.9,5,3,2,13,1,0,0,0,0,0,1,Green,ASHA Worker,Verified
Nongpoh Village,Meghalaya,2023-03-28,0,None,Low,14.2,0,2,1,4,0,0,1,0,0,0,0,Orange,ASHA Worker,Pending
Hnahthial Village,Mizoram,2023-03-28,0,None,Low,7.1,1,1,3,11,0,0,0,0,0,0,0,Red,Community Leader,Verified
Itanagar Rural,Arunachal Pradesh,2023-03-29,0,None,Medium,28.4,4,2,2,18,1,0,0,0,0,0,1,Green,ASHA Worker,Verified
Dharmanagar Rural,Tripura,2023-03-29,0,None,Medium,22.4,1,2,2,11,1,0,0,0,0,0,0,Green,ASHA Worker,Verified
Aizawl Rural,Mizoram,2023-03-29,0,None,Low,13.1,4,1,3,19,0,0,0,0,0,0,0,Green,District Health Office,Verified
Zunheboto Village,Nagaland,2023-03-29,0,None,Medium,17.1,6,1,3,13,0,0,0,0,0,0,0,Orange,ASHA Worker,Pending
Resubelpara Rural,Meghalaya,2023-03-29,0,None,Medium,27.2,4,2,1,14,1,0,0,0,0,0,1,Orange,ASHA Worker,Verified
Agartala Rural,Tripura,2023-03-29,0,None,Medium,29.7,3,5,1,16,1,0,0,0,0,0,1,Yellow,ASHA Worker,Verified
Ukhrul Village,Manipur,2023-03-29,0,None,Medium,23.9,2,5,2,14,0,0,1,0,0,0,0,Green,Community Leader,Verified
Wokha Rural,Nagaland,2023-03-30,0,None,Medium,18.4,5,4,2,23,0,0,0,0,0,0,0,Orange,District Health Office,Verified
Gyalshing Rural,Sikkim,2023-03-30,0,None,Medium,18.7,8,1,1,15,0,0,0,0,0,0,0,Green,Clinic,Verified
Dimapur Village,Nagaland,2023-03-30,0,None,High,34.7,1,7,6,32,1,0,0,0,0,0,1,Green,Clinic,Verified
Resubelpara Rural,Meghalaya,2023-03-30,0,None,Medium,15.9,3,5,2,15,0,0,0,0,0,0,0,Orange,District Health Office,Verified
Agartala Rural,Tripura,2023-03-30,0,None,Medium,16.5,3,7,0,18,0,0,0,0,0,0,0,Orange,Clinic,Verified
Kolasib Rural,Mizoram,2023-03-30,0,None,Low,13.6,2,4,3,21,0,0,0,0,0,0,0,Orange,District Health Office,Verified
Kohima Rural,Nagaland,2023-03-30,0,None,Low,4.7,1,1,1,4,0,0,0,0,0,0,0,Yellow,ASHA Worker,Verified
Tawang Rural,Arunachal Pradesh,2023-03-31,0,None,Medium,15.0,1,2,0,3,0,0,1,0,0,0,0,Green,ASHA Worker,Verified
Khliehriat Village,Meghalaya,2023-03-31,0,None,Medium,21.7,2,1,1,7,1,0,0,0,0,0,0,Green,District Health Office,Under Investigation
Namchi Village,Sikkim,2023-03-31,0,None,Medium,20.9,1,1,2,6,1,0,0,0,0,0,0,Red,Clinic,Under Investigation
Senapati Rural,Manipur,2023-03-31,0,None,High,39.7,2,3,1,11,0,1,1,0,0,0,1,Yellow,Clinic,Verified
Guwahati Rural,Assam,2023-03-31,0,None,Medium,27.3,0,5,4,18,1,0,0,0,0,0,1,Yellow,Clinic,Under Investigation
Roing Village,Arunachal Pradesh,2023-03-31,0,None,Low,14.5,5,3,0,17,0,0,0,0,0,0,0,Green,ASHA Worker,Under Investigation
Thoubal Village,Manipur,2023-03-31,0,None,Low,6.2,1,2,1,8,0,0,0,0,0,0,0,Yellow,ASHA Worker,Under Investigation
Dimapur Village,Nagaland,2023-04-01,0,None,High,32.1,1,1,3,8,1,0,1,0,0,0,1,Orange,ASHA Worker,Verified
Jorethang Rural,Sikkim,2023-04-01,1,Weather-related,Medium,28.5,7,3,0,24,0,0,1,10,2,5,1,Orange,ASHA Worker,Pending
Naharlagun Village,Arunachal Pradesh,2023-04-01,0,None,Low,11.5,2,5,0,10,0,0,0,0,0,0,0,Green,Community Leader,Verified
Lawngtlai Village,Mizoram,2023-04-01,0,None,Medium,20.3,4,5,4,27,0,0,0,0,0,0,0,Green,Community Leader,Verified
Tamenglong Rural,Manipur,2023-04-01,0,None,Low,12.0,3,4,0,17,0,0,0,0,0,0,0,Green,ASHA Worker,Under Investigation
Bomdila Rural,Arunachal Pradesh,2023-04-01,0,None,High,30.9,3,5,2,24,1,0,0,0,0,0,1,Yellow,ASHA Worker,Pending
Tezpur Village,Arunachal Pradesh,2023-04-01,0,None,High,32.6,4,4,3,17,1,0,0,0,0,0,1,Yellow,ASHA Worker,Under Investigation
Roing Village,Arunachal Pradesh,2023-04-02,0,None,Low,4.4,1,0,2,6,0,0,0,0,0,0,0,Yellow,District Health Office,Verified
Phek Rural,Nagaland,2023-04-02,0,None,Low,7.4,1,2,2,7,0,0,0,0,0,0,0,Green,Clinic,Verified
Dimapur Village,Nagaland,2023-04-02,0,None,Medium,29.7,3,5,1,17,1,0,0,0,0,0,1,Orange,District Health Office,Verified
Khowai Village,Tripura,2023-04-02,0,None,Low,6.0,3,0,0,3,0,0,0,0,0,0,0,Green,Community Leader,Under Investigation
Zunheboto Village,Nagaland,2023-04-02,0,None,Low,9.5,4,1,0,11,0,0,0,0,0,0,0,Yellow,District Health Office,Verified
